nr	zeichen	deutsche_lautschrift	start	ende	datei
01	अ	a	0.000	0.499	01_a_अ.mp3
02	आ	aa	0.499	0.997	02_aa_आ.mp3
03	इ	i	0.997	1.496	03_i_इ.mp3
04	ई	ii	1.496	1.995	04_ii_ई.mp3
05	उ	u	1.995	2.493	05_u_उ.mp3
06	ऊ	uu	2.493	2.992	06_uu_ऊ.mp3
07	ऋ	ri	2.992	3.491	07_ri_ऋ.mp3
08	ए	e	3.491	3.990	08_e_ए.mp3
09	ऐ	ai	3.990	4.488	09_ai_ऐ.mp3
10	ओ	o	4.488	4.987	10_o_ओ.mp3
11	औ	au	4.987	5.486	11_au_औ.mp3
